Epizoda;Prizor;Lokacija;Okoliščine;Opis;Liki;Statisti;Igralci;Število strani scenarija
01;01-01;Kemp/Plaža;DAN-EXT.;Prazna plaža  na njej dve brisači  ena poleg druge. Dan je sončen in počasen. Vse se dogaja v zamaknjeni morski idili. Gledamo od strani kot bi nekdo opazoval romantiko od daleč. Iz vode se sliši smeh in veseli ženski vzkliki. Ne vidimo kdo je v vodi  slišijo se samo glasovi.;2OFF Lara Off,1OFF Mark Off;;Gaja Filač,Matej Zemljič;0 3/8
01;01-02;Kemp/Plaža/V Vodi;DAN-EXT.;ROMANTIČNA LJUBEZENSKA IDILA MED MARKOM IN LARO SE SPREVRŽE V MORO.;2 Lara,1 Mark;;Gaja Filač,Matej Zemljič;1 6/8
01;01-03;Lj/Markova Garsonjera/Spalni Del;DAN-INT.;MARK SE ZBUDI IZ NOČNE MORE. MIO SKRBI  DA BO MARK MORAL V ZAPOR.;1 Mark,21 Mia;;Matej Zemljič,Zala Djurić;1 4/8
01;01-04;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT;HRVOJE BODRI EDVARDA  KI GA SKRBI MARKOVA ZAKLJUČNA OBRAVNAVA.;14 Hrvoje,3 Edvard,203 KEMP VEČ (15);KEMP VEČ (15);Alen Šalinović,Aleš Valič;1 4/8
01;01-05;Lj/Bistro Lotus;DAN-INT.;JULIJA S SVOJIM ŠARMOM IN S SVOJO POSLOVNO PRETKANOSTJO OČARA POSLOVNEŽA IN SVOJEGA ŠEFA ROMANA.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žunić;2
01;01-06;Hr/Pred Sodiščem;DAN-EXT.;MARK PRED SODIŠČEM SREČA JANO IN SE JI OPRAVIČI. JANA MU OBRNE HRBET  NE ŽELI SPREJETI NJEGOVEGA OPRAVIČILA.;1 Mark,21 Mia,12 Jana,194 Črt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Matej Zemljič,Zala Djurić,Tanja Potočnik,Aljaž Tepina;1 4/8
01;01-07;Lj/Bb-Jeva Pisarna;DAN-INT.; BB IZVE  DA MINISTRSTVO NE BO FINANCIRALO KONGRESA. NA STANETA BO ZDAJ PRITISNIL PO DRUGIH ZVEZAH.;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;1 6/8
01;01-08;Lj/Bistro Lotus;DAN-INT.;JULIJA JE ZRIHTALA BIZNIS. ROMANU DA VEDETI  KAKO NEPOGREŠJIVA JE ZA NJEGOVO FIRMO.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žunić;2
01;01-09;Hr/Sodna Dvorana;DAN-INT.;OBRAVNAVA SE ZAČENJA. JANA POGREŠA LARO. IMA SLABO VEST  KER JI NI POVEDALA ZA ZAKLJUČNO OBRAVNAVO.;1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;1 4/8
01;01-10;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;DAVID JE PRIŠEL PO ELO. DAVID SE ČUDI  DA JULIJA NITI OMENI NE MARKA IN NJEGOVE OBRAVNAVE.;10 Julija,16 Ela,11 David;;Sabina Kogovšek,Mei Rabič,Blaž Valič;2 7/8
01;01-11;Lj/Bb-Jeva Pisarna;DAN-INT.; BB UGOTOVI  DA GA JE STANE BLOKIRAL NA VSEH KANALIH. PEČNIK PREDLAGA  DA BI MINISTER LAHKO IMEL “NESREČO”...;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;1 4/8
01;01-12;Kemp/Pot Čez Kemp;DAN-EXT.; MINISTER STANE ODHAJA NA RIBOLOV  FRENK PA POVABI FANTE NA BALINANJE. A IZVE  DA JE EDVARD NA OBRAVNAVI. ;14 Hrvoje,161 Stane,7 Frenk,203 KEMP VEČ (15);KEMP VEČ (15);Alen Šalinović,Bojan Maroševič,Gaber Trseglav;1 6/8
01;01-13;Hr/Sodna Dvorana;DAN-INT;ODVETNICA V ZAKLJUČNEM GOVORU POUDARI DEJSTVA  KI GOVORIJO V MARKOV PRID. MARK PA V DVORANI ZAGLEDA - LARO!;2 Lara,1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Gaja Filač,Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;1 3/8
01;01-14;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;JULIJA RAZLOŽI DAVIDU  KAJ SI MISLI O MARKOVI OBRAVNAVI IN  ZAKAJ JE NI TAM.;10 Julija,11 David,16OFF Ela Off;;Sabina Kogovšek,Blaž Valič,Mei Rabič;2
01;01-15;Kemp/Pot Čez Kemp;DAN-EXT.;MOŠKI RAZPRAVLJAJO O USODNI NESREČI. IN O USODNIH LJUBEZNIH. FRENK NE ŽELI GOVORITI O MERI  STANE PA ODIDE NA RIBOLOV.;14 Hrvoje,161 Stane,7 Frenk,203 KEMP VEČ (15);KEMP VEČ (15);Alen Šalinović,Bojan Maroševič,Gaber Trseglav;2 4/8
01;01-16;Lj/Bb-Jeva Pisarna;DAN-INT.; PEČNIK PONOVNO PREDLAGA AKCIJO PROTI MINISTRU. BB ODIDE IN PUSTI PEČNIKA BREZ ODGOVORA. ;19 Bb,15 Pečnik;;Valter Dragan,Matija Rupel;0 7/8
