Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
1;01-Jan;Kemp/Plaža;DAN-EXT.;Prazna plaža  na njej dve brisa?i  ena poleg druge. Dan je son?en in po?asen. Vse se dogaja v zamaknjeni morski idili. Gledamo od strani kot bi nekdo opazoval romantiko od dale?. Iz vode se sliši smeh in veseli ženski vzkliki. Ne vidimo kdo je v vodi  slišijo se samo glasovi.;2OFF Lara Off,1OFF Mark Off;;Gaja Fila?,Matej Zemlji?; 3/8
1;01-Feb;Kemp/Plaža/V Vodi;DAN-EXT.;ROMANTI?NA LJUBEZENSKA IDILA MED MARKOM IN LARO SE SPREVRŽE V MORO.;2 Lara,1 Mark;;Gaja Fila?,Matej Zemlji?;1 3/4
1;01-Mar;Lj/Markova Garsonjera/Spalni Del;DAN-INT.;MARK SE ZBUDI IZ NO?NE MORE. MIO SKRBI  DA BO MARK MORAL V ZAPOR.;1 Mark,21 Mia;;Matej Zemlji?,Zala Djuri?;1 1/2
1;01-Apr;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT;HRVOJE BODRI EDVARDA  KI GA SKRBI MARKOVA ZAKLJU?NA OBRAVNAVA.;14 Hrvoje,3 Edvard,203 KEMP VE? (15);KEMP VE? (15);Alen Šalinovi?,Aleš Vali?;1 1/2
1;01-May;Lj/Bistro Lotus;DAN-INT.;JULIJA S SVOJIM ŠARMOM IN S SVOJO POSLOVNO PRETKANOSTJO O?ARA POSLOVNEŽA IN SVOJEGA ŠEFA ROMANA.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žuni?;2
1;01-Jun;Hr/Pred Sodiš?em;DAN-EXT.;MARK PRED SODIŠ?EM SRE?A JANO IN SE JI OPRAVI?I. JANA MU OBRNE HRBET  NE ŽELI SPREJETI NJEGOVEGA OPRAVI?ILA.;1 Mark,21 Mia,12 Jana,194 ?rt,291 Policaj  EXT. 1x;Policaj  EXT. 1x;Matej Zemlji?,Zala Djuri?,Tanja Poto?nik,Aljaž Tepina;1 1/2
1;01-Jul;Lj/Bb-Jeva Pisarna;DAN-INT.; BB IZVE  DA MINISTRSTVO NE BO FINANCIRALO KONGRESA. NA STANETA BO ZDAJ PRITISNIL PO DRUGIH ZVEZAH.;19 Bb,15 Pe?nik;;Valter Dragan,Matija Rupel;1 3/4
1;01-Aug;Lj/Bistro Lotus;DAN-INT.;JULIJA JE ZRIHTALA BIZNIS. ROMANU DA VEDETI  KAKO NEPOGREŠJIVA JE ZA NJEGOVO FIRMO.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žuni?;2
1;01-Sep;Hr/Sodna Dvorana;DAN-INT.;OBRAVNAVA SE ZA?ENJA. JANA POGREŠA LARO. IMA SLABO VEST  KER JI NI POVEDALA ZA ZAKLJU?NO OBRAVNAVO.;1 Mark,21 Mia,3 Edvard,12 Jana,194 ?rt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;POLICISTA INT. 2x;Matej Zemlji?,Zala Djuri?,Aleš Vali?,Tanja Poto?nik,Aljaž Tepina;1 1/2
1;01-Oct;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;DAVID JE PRIŠEL PO ELO. DAVID SE ?UDI  DA JULIJA NITI OMENI NE MARKA IN NJEGOVE OBRAVNAVE.;10 Julija,16 Ela,11 David;;Sabina Kogovšek,Mei Rabi?,Blaž Vali?;2 7/8
