01-01;Kemp/Plaža;DAN-EXT.;2OFF Lara Off,1OFF Mark Off;Gaja Filač,Matej Zemljič;2OFF Lara Off,1OFF Mark Off
01-02;Kemp/Plaža/V Vodi;DAN-EXT.;2 Lara,1 Mark;Gaja Filač,Matej Zemljič;ni STATISTOV
01-03;Lj/Markova Garsonjera/Spalni Del;DAN-INT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
01-04;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT;14 Hrvoje,3 Edvard,203 KEMP VEČ (15);Alen Šalinović,Aleš Valič;KEMP VEČ (15)
01-05;Lj/Bistro Lotus;DAN-INT.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.
01-06;Hr/Pred Sodiščem;DAN-EXT.;1 Mark,21 Mia,12 Jana,194 Črt,291 Policaj  EXT. 1x;Matej Zemljič,Zala Djurić,Tanja Potočnik,Aljaž Tepina;Policaj  EXT. 1x
01-07;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
01-08;Lj/Bistro Lotus;DAN-INT.;10 Julija,251 Roman,300 Poslovnež Andrej,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.,301 STATISTI LOTUS 3x 10.4.;Sabina Kogovšek,Uroš Smolej,Robert Gazvoda,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.,STATISTI LOTUS 3x 10.4.
01-09;Hr/Sodna Dvorana;DAN-INT.;1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;POLICISTA INT. 2x
01-10;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,16 Ela,11 David;Sabina Kogovšek,Mei Rabič,Blaž Valič;ni STATISTOV
01-11;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
01-12;Kemp/Pot Čez Kemp;DAN-EXT.;14 Hrvoje,161 Stane,7 Frenk,203 KEMP VEČ (15);Alen Šalinović,Bojan Maroševič,Gaber Trseglav;KEMP VEČ (15)
01-13;Hr/Sodna Dvorana;DAN-INT;2 Lara,1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;Gaja Filač,Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;POLICISTA INT. 2x
01-14;Lj/Julijino Stanovanje/Dnevna Soba;DAN-INT.;10 Julija,11 David,16OFF Ela Off;Sabina Kogovšek,Blaž Valič,Mei Rabič;ni STATISTOV
01-15;Kemp/Pot Čez Kemp;DAN-EXT.;14 Hrvoje,161 Stane,7 Frenk,203 KEMP VEČ (15);Alen Šalinović,Bojan Maroševič,Gaber Trseglav;KEMP VEČ (15)
01-16;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
01-17;Hr/Sodna Dvorana;DAN-INT;2 Lara,1 Mark,21 Mia,3 Edvard,12 Jana,194 Črt,302 Sodnica,301 Odvetnica,303 Tožilec,304 Zapisnikarica,292 POLICISTA INT. 2x;Gaja Filač,Matej Zemljič,Zala Djurić,Aleš Valič,Tanja Potočnik,Aljaž Tepina;POLICISTA INT. 2x
01-18;Lj/Julijino Stanovanje/Kuhinja;DAN-INT.;10 Julija,21OFF Mia Off;Sabina Kogovšek,Zala Djurić;ni STATISTOV
01-19;Hr/Sodna Dvorana;DAN-INT;12 Jana,194 Črt,292 POLICISTA INT. 2x;Tanja Potočnik,Aljaž Tepina;POLICISTA INT. 2x
01-20;Hr/Pred Sodiščem;DAN-EXT.;2 Lara,1 Mark,291 Policaj  EXT. 1x;Gaja Filač,Matej Zemljič;Policaj  EXT. 1x
01-21;Lj/Pečnikova Pisarna;DAN-INT.;15 Pečnik,250 Operativec;Matija Rupel,Damjan M. Trbovc;ni STATISTOV
01-22;Hr/Sodna Dvorana;DAN-INT.;12 Jana,194 Črt,292 POLICISTA INT. 2x;Tanja Potočnik,Aljaž Tepina;POLICISTA INT. 2x
